Estonian Name,Latin Name,Category,EELIS link,strategy_present,strategy_file,Tüüp,Nimi ladina k,Nimi eesti k,Nimi inglise k,Rühm,Kaitsekategooria,Kirjeldus,Direktiivi lisad,Liigi ohustatuse hinnang,Ohutegurite kirjeldus,Liigi tegevuskava,"Kaitsealused alad, kus on kaitse eesmärgiks",Elupaik,Elupaiga seisund,Ohud,Populatsiooni muutused Eestis,Uuringud,Seisund ELis,Kokkuvõte,Analyze_by_sisukord,Kokkuvõte_text
must-harksaba,Milvus migrans,III,https://infoleht.keskkonnainfo.ee/lnim/128678934,False,L%C3%B5pparuanne%20-%20%C3%9Cle-eestiline%20maismaalinnustiku%20anal%C3%BC%C3%BCs_0.pdf,Kaitsealune liik,Milvus migrans,must-harksaba,Black Kite,Linnud,III kategooria,,Linnudirektiivi I lisa,3. Väljasuremisohus (12.06.2019),"Ohuteguritest on endiselt aktuaalsed kokkupõrked elektriliinidega, reostunud veekogud ja inimkaaslevale liigile omane keskkonnamürkide kuhjumine organismi (eelkõige lõpnud kalade vahendusel). Meie elujõulisimale – Narva jõe asurkonnale mõjus hukutavalt lammielupaikade üleujutamine hüdroelektrijaama valmimise järel.",,,"Lisa 4.10. Habekakk (Strix nebulosa), Lisa 4.8. Must-harksaba (Milvus migrans)","Lisa 4.10. Habekakk (Strix nebulosa), Lisa 4.8. Must-harksaba (Milvus migrans)","5.1.3 Radaruuring, 5.1.7 Ilmaradarite mõõtmistulemuste kasutusvõimalustest lindude rände uurimisel",5.1.2 Hukkumissageduse modelleerimine ja populatsioonimudelid,"3.2.4 Laanepüü, 5.1.5 Põllumajandusmaastikul toituvad suurlinnud (luiged, haned, sookurg), 5.2 Ehitusaegne ja -järgne seire",3.2.2 Metsis,"4.3 Tsoneeringu kokkuvõte, 5.3 Hukkunud lindude arvu määramine",True,
raudkull,Accipiter nisus,III,https://infoleht.keskkonnainfo.ee/lnim/1053473122,False,elk_2020_est.pdf,Kaitsealune liik,Accipiter nisus,raudkull,Eurasian Sparrowhawk,Linnud,III kategooria,,,6. Soodsas seisundis (26.03.2019),"Suurimaks ohuteguriks on soovikumetsade kraavitamine ja raie. Kuna raudkull eelistab tihedaid puistuid, mis aitavad pesa vaenlaste eest varjata, siis on see liik tundlik ka tema elupaikades tehtavate harvendusraiete suhtes. Varem on olnud oluliseks ohuks ka vaenamine inimese poolt nn. kullisõdade käigus ja pestitsiidide rohke kasutamine põllumajanduses.",,Võrsna hoiuala (KLO2000338) Läänemaa Suursoo maastikukaitseala (KLO1000124) Ruhnu hoiuala (KLO2000328) Tahula-Reo hoiuala (KLO2000333) Väinamere hoiuala (Läänemaa) (KLO2000241) Pärnu maastikukaitseala (KLO1000603) Põduste-Upa hoiuala (KLO2000323) Karula rahvuspark (KLO1000242) Tagamõisa hoiuala (KLO2000332),,,,,,,,False,Raudkull (harilik raudkull) Accipiter nisus 3000−4000 p 41 000.
karvasjalg-viu,Buteo lagopus,III,https://infoleht.keskkonnainfo.ee/lnim/199803569,False,hanede_tk_2021-2025_0.pdf,Kaitsealune liik,Buteo lagopus,karvasjalg-viu,Rough-legged Buzzard,Linnud,III kategooria,,,,,,Leidissoo looduskaitseala (KLO1000263) Väinamere hoiuala (Läänemaa) (KLO2000241),,,,,,,,False,"Kahjuks ei leitud tekstis mingeid lõike, mis oleksid otse seotud linnuga ""karvasjalg-viu"". Edasi liikudes on tekstil peamiselt keskenduda valgepõsk-laglele ja tema populatsioonile. Seetõttu ei ole võimalik teie soovi täita. Kui teil on mõni teine tekst, millest soovite analüüsi, andke sellest teada!"
tuuletallaja,Falco tinnunculus,III,https://infoleht.keskkonnainfo.ee/lnim/-1361215047,False,elk_2020_est.pdf,Kaitsealune liik,Falco tinnunculus,tuuletallaja,Common Kestrel,Linnud,III kategooria,,,6. Soodsas seisundis (01.04.2019),Kultuur- ja avamaastikuliigina on tuuletallaja peamised ohutegurid seotud põllumajandusega. Ühest küljest mõjutab liigi seisundit toitumiseks kohase avamaastiku muutumine sobimatuks pestitsiidide kasutamise ja/või liiga intensiivse põllumajanduse tõttu. Teiselt poolt kahandab toidubaasi arvukust ja kättesaadavust maaharimise lakkamine ja sellega kaasnev võsastumine.,,Abruka hoiuala (KLO2000303) Endla looduskaitseala (KLO1000174) Väinamere hoiuala (Läänemaa) (KLO2000241),,,,,,,,False,Tuuletallaja (harilik tuuletallaja) Falco tinnunculus 700−900 p 18 100
punajalg-pistrik,Falco vespertinus,III,https://infoleht.keskkonnainfo.ee/lnim/1354498950,False,Luitemaa%20kaitsekorralduskava%2012.04.2021%20redaktsioon.pdf,Kaitsealune liik,Falco vespertinus,punajalg-pistrik,Red-footed Falcon,Linnud,III kategooria,,Linnudirektiivi I lisa,8. Mittehinnatav (01.03.2019),,,,,,,,,,,False,"Punajalg-pistrik (Falco) on oluline liik, mille kaitse-eesmärkide hulka tuleks samuti arvesse võtta. Punajalg-pistrik esindab EL linnudirektiivi I lisa liike ja kuulub III kaitsekategooriasse. See liik võib pesitseda Luitemaa looduskaitseala ja Luitemaa hoiuala kaitsekorralduskava piirkondades ning seetõttu on oluline tagada selle kaitse ning elupaikade säilitamine. Luitemaa linnuala on rahvusvaheliselt tähtis piirkond, kus elab mitmeid kaitsealuseid linnuliike, sealhulgas punajalg-pistrik. Siin tehtud ettepanekud seoses punajalg-pistriku kaitsmisega aitavad tagada selle liigi stabiilsuse ja elupaikade sobivuse."
lõopistrik,Falco subbuteo,III,https://infoleht.keskkonnainfo.ee/lnim/124621720,False,Luitemaa%20kaitsekorralduskava%2012.04.2021%20redaktsioon.pdf,Kaitsealune liik,Falco subbuteo,lõopistrik,Eurasian Hobby,Linnud,III kategooria,,,6. Soodsas seisundis (01.04.2019),"Lõopistrik on tundlik pesitsusaegse häirimise suhtes, mistõttu ei tohiks haudeajal teha metsamajanduslikke töid asustatud pesale lähemal kui 300–400 ja pesapoegade ajal lähemal kui 200 meetrit.",,Pärnu maastikukaitseala (KLO1000603) Järise hoiuala (KLO2000307) Uulu-Võiste maastikukaitseala (KLO1000651),,,,,,,,False,
laanepüü,Bonasa bonasia,III,https://infoleht.keskkonnainfo.ee/lnim/586816709,True,Laaneyy_KTK_eenou_24032015.pdf,Kaitsealune liik,Tetrastes bonasia,laanepüü,Hazel grouse,Linnud,III kategooria,"Laanepüü (Bonasa bonasia) on metsislaste sugukonda kuuluv kanaline, kes kuulub looduskaitseseaduse kohaselt III kaitsekategooriasse ning on Eesti ohustatud liikide punase nimestiku (2008) andmetel ohuvälises seisus. Ta on Eestis paigalind, keda võib kohata peamiselt mandriosa metsaaladel, kus ta on üldlevinud harilik haudelind, saartel esineb teda harva. Eestis hinnatakse laanepüü arvukuseks 30 000−60 000 haudepaari ning see on stabiilne (Eesti lindude staatus, pesitsusaegne ja talvine arvukus 2008−2012, Jaanus Elts 2013). Mujal on laanepüü levinud Euraasia metsa- ja metsastepivööndis, mägimetsades alates Ida-Prantsusmaast ja Norrast kuni Kolõma ülemjooksu, Ohhoota mere ranniku, Hokkaido ja Kesk-Koreani.",,4. Ohualdis (29.03.2019),,Laanepüü (Bonansa bonasia) kaitse tegevuskava Laaneyy_KTK_eenou_24032015,"Varbola rannamoodustiste maastikukaitseala (KLO1000755) Sanga looduskaitseala (KLO1000320) Lindi looduskaitseala (KLO1000517) Niinsoni looduskaitseala (KLO1000546) Nepstemurru looduskaitseala (KLO1000750) Keeri-Karijärve looduskaitseala (KLO1000285) Nigula looduskaitseala (KLO1000213) Mõdriku-Roela maastikukaitseala (KLO1000579) Kiigumõisa maastikukaitseala (KLO1000260) Lanksaare-Veelikse hoiuala (KLO2000252) Kuulmajärve looduskaitseala (KLO1000749) Tõhela-Ermistu looduskaitseala (KLO1000737) Alam-Pedja looduskaitseala (KLO1000455) Taarikõnnu LKA, Aruniidu skv. (KLO1100213) Massiaru hoiuala (KLO2000297) Nõva-Osmussaare hoiuala (Läänemaa) (KLO2000166) Karula rahvuspark (KLO1000242) Sookuninga looduskaitseala (KLO1000317) Varbola rannamoodustiste MKA, Põlli skv. (KLO1102023) Kivikupitsa maastikukaitseala (KLO1000330) Haanja looduspark (KLO1000469) Endla looduskaitseala (KLO1000174) Läänemaa Suursoo maastikukaitseala (KLO1000124) Otepää hoiuala (KLO2000117) Kõnnumaa maastikukaitseala (KLO1000505) Varbola rannamoodustiste MKA, Varbola rannamoodustiste pv. (KLO1102033) Otepää looduspark (KLO1000559) Alutaguse rahvuspark (KLO1000669) Tudusoo looduskaitseala (KLO1000277) Pärnu maastikukaitseala (KLO1000603) Taarikõnnu LKA, Põrguraba skv. (KLO1100061) Avaste looduskaitseala (KLO1000464) Kiusumetsa hoiuala (KLO2000242) Järveotsa maastikukaitseala (KLO1000323) Mäeküla hoiuala (KLO2000280) Matsalu rahvuspark (KLO1000300) Niinsoni LKA, Niinsoni skv. (KLO1100703) Vahenurme looduskaitseala (KLO1000272) Luitemaa looduskaitseala (KLO1000282) Urissaare hoiuala (KLO2000289) Nabala-Tuhala looduskaitseala (KLO1000634) Maalasti looduskaitseala (KLO1000626) Lahemaa rahvuspark (KLO1000511) Nõva looduskaitseala (KLO1000660) Kolga lahe maastikukaitseala (KLO1000495) Marimetsa looduskaitseala (KLO1000215) Kõrvemaa maastikukaitseala (KLO1000265) Jäärumetsa looduskaitseala (KLO1000331) Taarikõnnu LKA, Laianiidu skv. (KLO1100214) Kaisma hoiuala (KLO2000245) Jäärja hoiuala (KLO2000244) Tuhu looduskaitseala (KLO1000664) Käntu-Kastja hoiuala (Läänemaa) (KLO2000257) Taarikõnnu looduskaitseala (KLO1000058) Lehtsaare looduskaitseala (KLO1000268) Kuulmajärve LKA, Kuulmajärve skv. (KLO1101999) Meeksi limatünniku püsielupaik (KLO3002111)","2.1. Elupaik, 2.1.1. Kodupiirkond, 2.1.2. Puistu koosseis, 2.1.3. Puistu vanus, 2.1.4. Puistu struktuur",5. Liigi kaitsestaatus ja senise kaitse tõhususe analüüs,"6. Ohutegurid, 6.1. Elupaikade hävinemine ja killustumine, 6.2. Pesitsuse nurjumine metsamajandustööde tõttu, 6.3. Röövlus, 6.4. Jaht",3.2. Levik ja arvukus Eestis,4. Ülevaade uuringutest ja inventuuridest,3.1 Levik ja arvukus maailmas,Kokkuvõte,True,
teder,Tetrao tetrix,III,https://infoleht.keskkonnainfo.ee/lnim/-21051371,False,EE905_mgt200114.pdf,,Tetrao tetrix,teder,,Linnud,,,,,,,,,,,,,,,False,"Teder (Tetrao tetrix) on kaitsealune liik, kelle elupaigad asuvad peamiselt soodes ja nende servakooslustes. Alam-Pedja looduskaitsealal on teder maaspesitsev lind, kelle pesitsemise peamiseks ohuks on elupaikade hävimine ja kogutud teaberikkus arvukuse kohta on oluliselt langenud. Teder vajab elupaikade säästmist ja hooldamist ning oluline on tagada pesitsemise ajal lindude häirimise vältimine. 

Kaitsekorralduskava soovitab, et tedre arvukuse säilitamiseks tuleb jälgida elupaikade seisundit ning vajadusel rakendada säilitustöid, et puudub vajadus lisameetmeid rakendada. Alam-Pedja LLA-l on teder esindatud vähemalt kolme mänguga ning tema pesitsusala seisund on viimastel aastatel püsinud stabiilsena, kuid tuleb tähelepanu pöörata ka keskkonnamuutustele, mis võivad mõjutada tema toidulauda ja pesitsemise edukaid tingimusi. 

Õiged hooldusvõtted ja elupaikade säilitamine aitavad tagada, et teder suudab oma populatsiooni all hoidmiseks vajalikud tingimused saavutada. Seetõttu on Alam-Pedja kaitseala oluline mitte ainult tedre, vaid ka teiste looduskaitsealuste liikide seisukohalt."
rooruik,Rallus aquaticus,III,https://infoleht.keskkonnainfo.ee/lnim/-1721916803,True,Roostikulindude_KTK_eelnou_14042015.pdf,Kaitsealune liik,Rallus aquaticus,rooruik,Water Rail,Linnud,III kategooria,,Linnudirektiivi II lisa B osa,6. Soodsas seisundis (01.05.2019),Rooruiga peamisteks ohuteguriteks tuleb pidada intensiivset talvist rooniitmist ja veekogude kuivendamist.,Roostikulindude kaitse tegevuskava Roostikulindude_KTK_eelnou_14042015,Nehatu looduskaitseala (KLO1000175) Endla looduskaitseala (KLO1000174) Ropka-Ihaste looduskaitseala (KLO1000633) Silma looduskaitseala (KLO1000197) Puhtu-Laelatu looduskaitseala (KLO1000176) Kasti lahe hoiuala (KLO2000312) Küdema lahe hoiuala (KLO2000318) Matsalu rahvuspark (KLO1000300) Laidevahe looduskaitseala (KLO1000512) Paljassaare hoiuala (KLO2000168) Väinamere hoiuala (Läänemaa) (KLO2000241) Mullutu-Loode looduskaitseala (KLO1000739),2.6.1.1 Elupaiganõudlus,2.6.1.1 Elupaiganõudlus,"3. Ohutegurid, 2.6.4 Kaitsestaatus ja senise kaitse tõhususe analüüs",2.6.3.2 Levik ja arvukus Eestis,"2.6.2 Ülevaade uuringutest ja inventuuridest, 2.6.3.1 Levik ja arvukus Euroopas, 2.6.3.2 Levik ja arvukus Eestis",2.6.3.1 Levik ja arvukus Euroopas,Kokkuvõte,True,
tait,Gallinula chloropus,III,https://infoleht.keskkonnainfo.ee/lnim/1335124349,False,Luitemaa%20kaitsekorralduskava%2012.04.2021%20redaktsioon.pdf,Kaitsealune liik,Gallinula chloropus,tait,Common Moorhen,Linnud,III kategooria,,Linnudirektiivi II lisa B osa,4. Ohualdis (01.04.2019),Teadmata.,,Jaandi hoiuala (KLO2000305),,,,,,,,False,"Tait'iga seotud lõigud:
1. Luitemaa looduskaitsealal on kassikaku elupaik.
2. Luitemaa loodusalal on kassikaku liikumispiiranguga piiritähiste.
3. Tõotusemäe lõkkekoha ja sinna juurde kuuluva rajatiste.
4. Antud tegevuse vajadust tuleb LISA 7. ULATUSLIKE LOODUSÕNNETUSTE LIKVIDEERIMINE.
5. Luitemaa loodusalal on kassikaku elupaik oleks võimalik parkida ning vajadusel ümberpöörata.

Kombineeritud tekst:
Luitemaa looduskaitsealal on kassikaku elupaik. Luitemaa loodusalal on kassikaku liikumispiiranguga piiritähiste, mis tagavad kassikaku kaitse. Samuti on Tõotusemäe lõkkekoha ja sinna juurde kuuluva rajatiste hooldus vajalik. Antud tegevuse vajadust tuleb LISA 7. ULATUSLIKE LOODUSÕNNETUSTE LIKVIDEERIMINE. Luitemaa loodusalal on kassikaku elupaik, mis võimaldab vajadusel parkida ja ümberpöörata.
Täitmiskohustus: 

Tait (Gallinago gallinago) on II kaitsekategooria kaitsealune lind, kelle arvukus ja pesituspaikade kvaliteet on olulised Luitemaa looduskaitseala kaitse-eesmärkide seadmisel. Tait eelistab madalaid, niisutatud niite, kus toimetavad rohelised orgaanilised ained. Luitemaa loodusalal on seostatud Taiti elupaigatüüpide säilitamisega, mis on vajalik toitumis- ja pesitsemisvõimaluste tagamiseks. Liik kasutab aktiivselt rannikulõugaste ja lahekarjamaade elupaiku, kus on sobiv toidulaud ja kaitse. Madalmurused ja niidud, kus kasvatatakse loomi, peavad olema hooldatud, et vältida liigset roostumist ja tagada toidujadad Taitide jaoks talvel ja suvel. Taitide seire ja nende kaitse-eesmärkide ulatus on määratud Luitemaa hoiuala keskkonnaseire programmidesse ning need toimivad potentsiaalsete pesitsuskohtadena. Edukas kaitsestrateegia peab käsitlema ka Taiti toitvate looduslike elementide ja maastike kaitset ning nende säilitamist Luitemaa rannikualal. 

Üldiselt on Luitemaa linnuala kaitsekorraldus planeeritud, et tagada kaitse-eesmärkide täielik rakendamine ja Taiti elupaikade loomine ning hooldamine.
Läbi analüüsi leidsin, et 'tait' seondub tekstis linna-tüüpi linnuga 'Põldtsiitsitaja' (Emberiza hortulana). Siin on väljavõtted, mis puudutavad seda linnuliiki:

---

**Põldtsiitsitaja (Emberiza hortulana)**  
Kaitse tegevuskava. Luitemaa linnuala (edaspidi hoiuala) (kogupindalaga 1710,6 ha).  
... Niitude hooldamine ja taastamine.  
Pesitsusperioodil on olnud häirimise tõttu arvukuse olulist langust.  
... Põldtsiitsitaja on leitud Luitemaa looduskaitsealalt.  
... Kaitseala eesmärgid keskenduvad Põldtsiitsitaja soodsa elupaiga säilitamisele ning taastamisele.  
Oluline on säilitada ja hooldada sobivaid toitumiskohti, et Põldtsiitsitaja asurkond saaks jätkuvalt püsida.  
... 

---

Need lõigud kokku võtavad teema, mis puudutab Põldtsiitsitaja kaitset, hooldustöid ning elupaiku Luitemaa looduskaitsealal."
väiketüll,Charadrius dubius,III,https://infoleht.keskkonnainfo.ee/lnim/1790660338,False,Luitemaa%20kaitsekorralduskava%2012.04.2021%20redaktsioon.pdf,Kaitsealune liik,Charadrius dubius,väiketüll,Little Ringed Plover,Linnud,III kategooria,,,6. Soodsas seisundis (29.03.2019),Peamiseks ohuks on häiringujärgsete elupaikade kinnikasvamine ning inimtekkeline häirimine pesitsusajal.,,Väinamere hoiuala (Hiiu) (KLO2000340) Väinamere hoiuala (Saare) (KLO2000339) Pärnu rannaniidu looduskaitseala (KLO1000584) Otepää looduspark (KLO1000559) Tudusoo looduskaitseala (KLO1000277) Väinamere hoiuala (Pärnu) (KLO2000300) Paljassaare hoiuala (KLO2000168) Väinamere hoiuala (Läänemaa) (KLO2000241),,,,,,,,False,
rüüt,Pluvialis apricaria,III,https://infoleht.keskkonnainfo.ee/lnim/-1049031473,False,EE905_mgt200114.pdf,Kaitsealune liik,Pluvialis apricaria,rüüt,European Golden Plover,Linnud,III kategooria,,,6. Soodsas seisundis (25.03.2019),Eesti pesitsusaladel on suurimaks ohuks elupaikade hävimine turbakaevandamise ja kuivendamise mõjul. Ohuks on rabade avakoosluste pindala vähenemine rabasid ümbritsevate kuivendussüsteemide pikaajalise mõju tõttu. Vähesel määral mõjutab lokaalset arvukust suurenev häirimine.,,Meenikunno looduskaitseala (KLO1000641) Luitemaa hoiuala (KLO2000250) Sutu lahe hoiuala (KLO2000331) Nätsi-Võlla looduskaitseala (KLO1000201) Lihula looduskaitseala (KLO1000747) Põhja-Kõrvemaa looduskaitseala (KLO1000598) Nigula looduskaitseala (KLO1000213) Lavassaare looduskaitseala (KLO1000645) Tõhela-Ermistu looduskaitseala (KLO1000737) Alam-Pedja looduskaitseala (KLO1000455) Väinamere hoiuala (Läänemaa) (KLO2000241) Kaugatoma-Lõu hoiuala (KLO2000313) Marimetsa looduskaitseala (KLO1000215) Kõrvemaa maastikukaitseala (KLO1000265) Endla looduskaitseala (KLO1000174) Läänemaa Suursoo maastikukaitseala (KLO1000124) Kõnnumaa maastikukaitseala (KLO1000505) Alutaguse rahvuspark (KLO1000669) Tudusoo looduskaitseala (KLO1000277) Marimetsa-Õmma hoiuala (Läänemaa) (KLO2000151) Kaisma hoiuala (KLO2000245) Sirtsi looduskaitseala (KLO1000076) Audru poldri looduskaitseala (KLO1000632) Avaste looduskaitseala (KLO1000464) Tuhu looduskaitseala (KLO1000664) Luitemaa looduskaitseala (KLO1000282),,,,,,,,False,"Rüüt (Pluvialis apricaria) esindab haruldast haudelindu, kelle pesitsusperiood on rabades ja niisketel aladel. Alam-Pedja looduskaitsealal on rüüda asurkond heas seisus, kus korraldatakse seiret ja pädevustelnniga kinni peetakse liikide kaitse ja elupaikade säilitamise tagamiseks. Pesitsevad rüütide paarid saavad peamiselt toitu vihmaussidest, mis aitavad tagada nende ellujäämise ja edukuse pesitsusajal. Arvatakse, et Alam-Pedja LLA-l pesitseb 72 paari rüütasid, mis põhineb regulaarsetel inventuuridel.

Rüüda populatsioon on stabiliseerunud, mis näitab piisava elupaiga olemasolu ja toetavat keskkonnategevust. Rütide pesitsustingimustega seoses on oluline säilitada piirkondade looduslikud omadused ning vältida häirimist pesitsusaegadel, mil rüütide hääli võib kuulda niitude ja rabade piirkondades. Samuti on vajalik maailmas tuntud jõeäärsete ja avatud alade hoidmine, mis on rüütidele olulised toitumis- ja pesitsusalad.

Kaitsemeetmed, sealhulgas liikumispiirangud pesitsusaegadel, on kehtestatud, et tagada rüütide rahu ja võimalus pesitseda ohutult. Alam-Pedja LLA-l on rüütide kaitse jaoks välja töötatud mitmeid tegevuskavasid, mis hõlmavad seiret, loodusõppeprogramme ning kohaliku kogukonna teadlikkuse tõstmist. Seirete tulemused aitavad jälgida rüüda arvukuse muutusi, mis on oluline liigi ja selle elupaikade kaitse tagamiseks."
vöötsaba-vigle,Limosa lapponica,III,https://infoleht.keskkonnainfo.ee/lnim/495144325,False,EE905_mgt200114.pdf,Kaitsealune liik,Limosa lapponica,vöötsaba-vigle,Bar-tailed Godwit,Linnud,III kategooria,,,,,,Pärnu lahe hoiuala (KLO2000286) Kura kurgu hoiuala (KLO2000316) Kõrgessaare looduskaitseala (KLO1000611) Väinamere hoiuala (Saare) (KLO2000339) Alam-Pedja looduskaitseala (KLO1000455) Väinamere hoiuala (Pärnu) (KLO2000300) Matsalu rahvuspark (KLO1000300) Luitemaa looduskaitseala (KLO1000282) Väinamere hoiuala (Läänemaa) (KLO2000241),,,,,,,,False,"Vöötsaba-vigle (Limosa lapponica) on Alam-Pedja looduskaitseala (LKA) kaitsealune liik, mille arvukus on hinnatud 2003. aastal ja see liigina ei pesitse Eestis, vaid peatub siin läbirännul. Alam-Pedja LLA-l on vähemalt 100 isendit, mis teeb selle piirkonna rändepeatuseks sobivaks alaks. Vöötsaba-vigle toidustab end peamiselt pehmest pinnast või madalast veest, kus see hangib toitu, mis koosneb ussidest, molluskitest ja veetaimede osadest. 

Kaitse-eesmärgiks on tagada liigi soodsat seisundit ning elupaikade säilimine. Vöötsaba-vigle on loetletud kui III kategooria kaitsealune liik, mille hooldamine ja kaitse toimub regulaarsetel meetoditel, sealhulgas niitmine ja loomade karjatamine, et luua ja säilitada sobivaid toitumisalasid. Uute luhaalade hooldusse võtmine loob vöötsaba-viglele uusi toitumisalasid. 

Alam-Pedja LKA-l paiknev looduslik keskkond, sealhulgas madalsood ja hooldatavad luhaniidud, on olulised elupaigad vöötsaba-vigle jaoks, mis sõltub kõrge loodusliku mitmekesisuse ja madala intensiivsusega majandamise säilitamisest. Hooldustööde kvaliteedi hindamine ning elupaikade seisukorra jälgimine on samuti vajalik, et tagada vöötsaba-vigle ja teiste kaitsealuste liikide olemasolu ja heaolu."
väikekoovitaja,Numenius phaeopus,III,https://infoleht.keskkonnainfo.ee/lnim/-1419281941,False,EE905_mgt200114.pdf,Kaitsealune liik,Numenius phaeopus,väikekoovitaja,Whimbrel,Linnud,III kategooria,,Linnudirektiivi II lisa B osa,6. Soodsas seisundis (28.03.2019),,,Endla looduskaitseala (KLO1000174) Läänemaa Suursoo maastikukaitseala (KLO1000124) Alutaguse rahvuspark (KLO1000669) Tudusoo looduskaitseala (KLO1000277) Suursoo-Leidissoo hoiuala (Läänemaa) (KLO2000154) Nätsi-Võlla looduskaitseala (KLO1000201) Marimetsa-Õmma hoiuala (Läänemaa) (KLO2000151) Paljassaare hoiuala (KLO2000168) Lihula looduskaitseala (KLO1000747) Nigula looduskaitseala (KLO1000213) Sirtsi looduskaitseala (KLO1000076) Lavassaare looduskaitseala (KLO1000645) Audru poldri looduskaitseala (KLO1000632) Tuhu looduskaitseala (KLO1000664) Alam-Pedja looduskaitseala (KLO1000455) Luitemaa looduskaitseala (KLO1000282) Leidissoo looduskaitseala (KLO1000263) Marimetsa looduskaitseala (KLO1000215),,,,,,,,False,"Väikekoovitaja (Numenius phaeopus) on Eestis haruldane haudelind (400-700 paari) ja vähesearvuline läbirändaja. Pedja LLA-l pesitseb vähemalt 40-55 paari väikekoovitajaid. Lingiga seotud elupaikades, sealhulgas lamminiitudel ja niisketel niitudel, on tema toitumiseks sobivad olud, kuna ta toitub peamiselt putukatest ja marjadest. Siiski on liikide seisundit halvendanud luhaniitude ja madalsoode majandamise vähenemine ja lakkamine. 

Looduskaitse eesmärk on kaitsta Väikekoovitaja pesitsus- ja toitumispaiku, tagades elupaikade kvaliteedi ja järjepideva hooldamise, sealhulgas luhaniitude taastamise. Samuti tuleb jälgida röövloomade arvukust, et vähendada nende mõju pesitsus- ja toitumisaladel. Alam-Pedja looduskaitseala on rahvusvahelise tähtsusega märgala, mis toetab Väikekoovitaja kui haruldase linnuliigi säilimist ja arvukuse taastumist. 

Seirete tulemused näitavad, et alal on säilinud piisav arv väikekoovitajaid, mis viitab kaitsemeetmete tõhususele ning elupaikade kvaliteedi säilitamisele."
heletilder,Tringa nebularia,III,https://infoleht.keskkonnainfo.ee/lnim/834686236,False,EE905_mgt200114.pdf,Kaitsealune liik,Tringa nebularia,heletilder,Common Greenshank,Linnud,III kategooria,,Linnudirektiivi II lisa B osa,4. Ohualdis (27.03.2019),,,Kõrvemaa maastikukaitseala (KLO1000265) Väinamere hoiuala (Hiiu) (KLO2000340) Endla looduskaitseala (KLO1000174) Alutaguse rahvuspark (KLO1000669) Tudusoo looduskaitseala (KLO1000277) Kasti lahe hoiuala (KLO2000312) Riksu ranniku hoiuala (KLO2000327) Väinamere hoiuala (Saare) (KLO2000339) Audru poldri looduskaitseala (KLO1000632) Alam-Pedja looduskaitseala (KLO1000455) Küdema lahe hoiuala (KLO2000318) Väinamere hoiuala (Pärnu) (KLO2000300) Väinamere hoiuala (Läänemaa) (KLO2000241) Kaugatoma-Lõu hoiuala (KLO2000313),,,,,,,,False,"Heletilder (Tringa nebularia) on kaitsealune liik, mille arvukus on Alam-Pedja Looduskaitseala (LLA) piirkonnas heas seisus. Inventuuri põhjal pesitseb seal vähemalt 30 haudepaari. Alam-Pedja rabamassiivid pakuvad heletildrile sobivaid elupaiku. 2010. a linnuinventuur näitas, et Põltsamaa rabas pesitses 10 haudepaari heletildreid. Samuti on teatud aladel piisav kaitse olemas, mistõttu täiendavaid kaitsemeetmeid heletildri jaoks hetkel vaja ei ole. 

Kaitseala peamine ohutegur on pesitsusaegne häirimine ja röövluse mõju. Heletilder on madalsoodes ja rabades, kus tema toiduks on peamiselt veeputukad ja nende vastsed. Alam-Pedja LLA-l on oluline roll heletildri elupaikade kaitsmises, et tagada liigi soodne seisund. Samuti seostatakse heletilderit madalsoode ja raba elupaikade säilimisega. 

Pesitsustingimuste säilitamiseks on vajalik hooldus, mis hõlmab luhaniitude ja madalsoode hooldamist, et vältida võsastumist. Röövloomade arvukusele peab samuti tähelepanu pöörama, et kaitsta heletildreid pesitsusajal."
